chromosome1,start1,end1,chromosome2,start2,end2,PET Count,Hypergeometric p-value,Bayes mixture 1
chr12,59200000,59205000,chr12,59205000,59210000,2,2.25265789771846e-09,0
chr4,107595000,107600000,chr4,107605000,107610000,1,1.77232412350098e-05,0
chr12,119885000,119890000,chr12,119895000,119900000,1,0.000134647653126323,0
chr5,540000,545000,chr5,545000,550000,2,9.44945141489727e-09,0
chrX,28570000,28575000,chrX,28575000,28580000,2,5.39717308600858e-10,0
chr16,73180000,73185000,chr16,73190000,73195000,1,9.53895677158366e-05,0
chr11,23185000,23190000,chr11,23190000,23195000,4,1.14419802590305e-18,0
chr9,116950000,116955000,chr9,116955000,116960000,3,6.02165741443783e-14,0
chr12,60300000,60305000,chr12,60310000,60315000,1,3.73682072988356e-05,0
chr11,133925000,133930000,chr11,133930000,133935000,4,6.03460225243064e-17,0
chr10,125375000,125380000,chr10,125385000,125390000,1,6.64943904784426e-05,0
chr21,25905000,25910000,chr21,25910000,25915000,3,1.15605473393372e-13,0
chrX,58380000,58385000,chrX,58385000,58390000,1,4.71652728538232e-06,0
chr2,107780000,107785000,chr2,107785000,107790000,2,1.41258721540903e-09,0
chr3,30080000,30085000,chr3,30085000,30090000,2,1.15763229838799e-09,0
chr6,89350000,89355000,chr6,89355000,89360000,1,9.50101459181206e-05,0
chr8,144200000,144205000,chr8,144210000,144215000,1,0.000292649633696834,0
chrX,148310000,148315000,chrX,148315000,148320000,1,4.6596200851325e-05,0
chr5,95475000,95480000,chr5,95480000,95485000,1,0.000105808935438661,0
chr3,26360000,26365000,chr3,26365000,26370000,1,2.28858014794707e-05,0
chrX,99115000,99120000,chrX,99125000,99130000,1,2.67597703635623e-05,0
chr10,134040000,134045000,chr10,134045000,134050000,3,2.51070293178363e-14,0
chr4,22145000,22150000,chr4,22150000,22155000,1,2.25188355930034e-05,0
chr11,105255000,105260000,chr11,105260000,105265000,2,1.35175410707246e-09,0
chr1,184145000,184150000,chr1,184150000,184155000,3,8.35330365929558e-13,0
chr6,116440000,116445000,chr6,116445000,116450000,2,3.31189952857675e-09,0
chr8,2835000,2840000,chr8,2845000,2850000,1,0.000128152110805111,0
chr18,10650000,10655000,chr18,10655000,10660000,2,3.36079789049346e-09,0
chr2,235850000,235855000,chr2,235855000,235860000,2,2.90258645680828e-09,0
chr13,38810000,38815000,chr13,38815000,38820000,2,9.82703678320612e-10,0
chr5,68265000,68270000,chr5,68270000,68275000,3,2.37486835313953e-12,0
chr8,6645000,6650000,chr8,6655000,6660000,1,0.000253674767772808,0
chrX,115040000,115045000,chrX,115045000,115050000,1,3.7364039542604e-05,0
chr9,89240000,89245000,chr9,89245000,89250000,2,2.01561864343191e-09,0
chr7,151920000,151925000,chr7,151930000,151935000,1,3.2126566780486e-05,0
chr10,122385000,122390000,chr10,122390000,122395000,1,5.62326603622726e-05,0
chr13,63770000,63775000,chr13,63775000,63780000,2,2.98009294914831e-11,0
chr5,167290000,167295000,chr5,167295000,167300000,2,1.17586229185994e-09,0
chr11,35415000,35420000,chr11,35420000,35425000,1,8.94980887915448e-05,0
chr19,16040000,16045000,chr19,16050000,16055000,1,6.92213727314424e-05,0
chrX,145960000,145965000,chrX,145965000,145970000,4,2.54684678917356e-21,0
chr4,69475000,69480000,chr4,69480000,69485000,2,1.25175591687392e-09,0
chr2,96395000,96400000,chr2,96400000,96405000,2,1.15622997691408e-09,0
chrX,127520000,127525000,chrX,127525000,127530000,1,1.49751365177436e-05,0
chr12,17585000,17590000,chr12,17590000,17595000,1,2.18766451740916e-05,0
chrX,27775000,27780000,chrX,27785000,27790000,1,2.36239008858671e-05,0
chr2,200565000,200570000,chr2,200570000,200575000,1,5.83467349077726e-05,0
chr4,22505000,22510000,chr4,22515000,22520000,1,9.70114837411142e-05,0
chr15,20470000,20475000,chr15,20475000,20480000,1,0.000140421886576778,0
chr11,98960000,98965000,chr11,98965000,98970000,3,1.24195137108021e-14,0
chr2,149095000,149100000,chr2,149100000,149105000,1,6.9604985162556e-05,0
chr9,82570000,82575000,chr9,82575000,82580000,2,1.59358852229817e-10,0
chr5,31040000,31045000,chr5,31045000,31050000,2,3.39095920786448e-09,0
chr13,37755000,37760000,chr13,37760000,37765000,1,2.69724418487691e-05,0
chr20,13195000,13200000,chr20,13200000,13205000,4,1.2099955137058e-19,0
chr8,143950000,143955000,chr8,143965000,143970000,1,0.000164364366640292,0
chr4,120875000,120880000,chr4,120880000,120885000,1,3.25143752820216e-05,0
chr1,58190000,58195000,chr1,58200000,58205000,1,0.000127843584200309,0
chr14,88090000,88095000,chr14,88095000,88100000,2,3.88582588067711e-10,0
chr6,142470000,142475000,chr6,142475000,142480000,3,3.55724604568704e-13,0
chr18,34645000,34650000,chr18,34655000,34660000,1,3.34526502703169e-05,0
chr3,154835000,154840000,chr3,154840000,154845000,1,3.83022775607014e-05,0
chrX,33730000,33735000,chrX,33735000,33740000,1,1.31527894315629e-05,0
chrX,41530000,41535000,chrX,41540000,41545000,1,4.72884020715061e-05,0
chr7,15055000,15060000,chr7,15060000,15065000,3,4.11799114215985e-14,0
chr20,52615000,52620000,chr20,52620000,52625000,4,8.08046108138842e-18,0
chr2,196385000,196390000,chr2,196390000,196395000,1,2.04546512209076e-05,0
chr3,165870000,165875000,chr3,165875000,165880000,3,3.69944179235902e-14,0
chr5,100730000,100735000,chr5,100735000,100740000,3,7.43376400214212e-15,0
chr10,110855000,110860000,chr10,110860000,110865000,1,2.12511348730766e-05,0
chr7,53130000,53135000,chr7,53140000,53145000,1,7.52882074689588e-05,0
chr1,226765000,226770000,chr1,226780000,226785000,1,0.000318172624479214,0
chrX,76600000,76605000,chrX,76610000,76615000,1,2.43786791624469e-05,0
chrX,80580000,80585000,chrX,80585000,80590000,4,4.86302985060258e-19,0
chr10,81175000,81180000,chr10,81185000,81190000,1,0.000535070404117213,0
chr15,51460000,51465000,chr15,51465000,51470000,2,3.62237463993861e-10,0
chr5,49555000,49560000,chr5,49565000,49570000,1,2.30192424502351e-05,0
chr4,145610000,145615000,chr4,145615000,145620000,1,3.62840223463722e-05,0
chr12,26035000,26040000,chr12,26040000,26045000,3,3.42240672047734e-14,0
chr6,51185000,51190000,chr6,51190000,51195000,2,7.52369733557063e-09,0
chr3,28105000,28110000,chr3,28110000,28115000,1,2.11927552857703e-05,0
chr1,97965000,97970000,chr1,97970000,97975000,1,8.41819449114592e-05,0
chr10,6840000,6845000,chr10,6845000,6850000,2,2.85812748053724e-12,0
chr11,71210000,71215000,chr11,71215000,71220000,3,5.9308122235159e-13,0
chr5,57550000,57555000,chr5,57555000,57560000,1,5.62701914412402e-05,0
chr20,5960000,5965000,chr20,5965000,5970000,4,1.40541449726747e-17,0
chr8,54375000,54380000,chr8,54385000,54390000,1,0.000101827177267181,0
chr5,78685000,78690000,chr5,78690000,78695000,4,9.15690411673528e-17,0
chrX,62830000,62835000,chrX,62835000,62840000,1,3.35109987388544e-05,0
chr3,121805000,121810000,chr3,121810000,121815000,3,5.5441072899514e-14,0
chr4,183730000,183735000,chr4,183735000,183740000,1,8.44051051014949e-06,0
chrX,26075000,26080000,chrX,26085000,26090000,1,5.48107611580425e-05,0
chr8,20160000,20165000,chr8,20165000,20170000,2,6.52652742264648e-09,0
chr5,116890000,116895000,chr5,116895000,116900000,2,1.44994357235669e-10,0
chr3,1675000,1680000,chr3,1680000,1685000,4,9.91604585970029e-18,0
chr11,132415000,132420000,chr11,132430000,132435000,1,3.80145475266162e-05,0
chrX,78435000,78440000,chrX,78440000,78445000,1,3.52331946871843e-05,0
chrX,9425000,9430000,chrX,9430000,9435000,2,6.27968211406382e-09,0
chr13,71785000,71790000,chr13,71790000,71795000,4,1.63752472575287e-20,0
chr15,99760000,99765000,chr15,99765000,99770000,2,6.20006270559473e-09,0
chr13,86980000,86985000,chr13,86990000,86995000,1,3.2635303947421e-05,0
chr2,35920000,35925000,chr2,35930000,35935000,1,5.98978850090224e-05,0
chr3,190590000,190595000,chr3,190595000,190600000,1,3.36110796812284e-05,0
chr10,91875000,91880000,chr10,91880000,91885000,2,1.07709726989571e-11,0
chr4,134800000,134805000,chr4,134805000,134810000,3,4.53525976774753e-14,0
chr14,64210000,64215000,chr14,64215000,64220000,1,6.99302097323433e-05,0
chr5,167375000,167380000,chr5,167385000,167390000,1,5.09661959111963e-05,0
chr13,66170000,66175000,chr13,66180000,66185000,1,2.49583160599758e-05,0
chr12,80675000,80680000,chr12,80680000,80685000,1,1.74146533398163e-05,0
chr4,117340000,117345000,chr4,117345000,117350000,2,2.8748532599091e-10,0
chr18,70030000,70035000,chr18,70035000,70040000,1,1.68892201580706e-05,0
chr3,180835000,180840000,chr3,180840000,180845000,1,3.83940112171151e-05,0
chr13,39135000,39140000,chr13,39140000,39145000,2,3.51504022032073e-09,0
chr1,236300000,236305000,chr1,236310000,236315000,1,0.000344711244324091,0
chr8,77845000,77850000,chr8,77860000,77865000,1,8.99609032176246e-05,0
chr16,30345000,30350000,chr16,30350000,30355000,1,0.000112000413815957,0
chr2,295000,300000,chr2,300000,305000,2,1.41900347227216e-09,0
chrX,100030000,100035000,chrX,100035000,100040000,3,5.62917465731559e-15,0
chr1,116595000,116600000,chr1,116600000,116605000,1,1.338632315498e-05,0
chr9,28455000,28460000,chr9,28460000,28465000,3,6.47320725772898e-16,0
chr9,105680000,105685000,chr9,105685000,105690000,1,4.09835320091332e-05,0
chrX,98835000,98840000,chrX,98840000,98845000,1,1.10343538210893e-05,0
chr8,33535000,33540000,chr8,33540000,33545000,2,4.242922928158e-09,0
chr14,87735000,87740000,chr14,87740000,87745000,2,1.8890354657388e-10,0
chr21,24595000,24600000,chr21,24600000,24605000,2,2.07562540565619e-09,0
chr2,23780000,23785000,chr2,23785000,23790000,2,3.02512690146296e-09,0
chr2,215645000,215650000,chr2,215650000,215655000,1,2.45830136983025e-05,0
chr2,200520000,200525000,chr2,200525000,200530000,2,7.00708231050751e-10,0
chr7,94075000,94080000,chr7,94080000,94085000,1,8.56663004097412e-05,0
chr11,124895000,124900000,chr11,124905000,124910000,1,0.000102515120500674,0
chr18,22995000,23000000,chr18,23000000,23005000,3,6.50620121935167e-13,0
chr8,31300000,31305000,chr8,31305000,31310000,4,9.0320500596588e-19,0
chr8,9930000,9935000,chr8,9935000,9940000,4,1.07118732992015e-16,0
chr15,37105000,37110000,chr15,37115000,37120000,1,0.000106513572074436,0
chr14,58245000,58250000,chr14,58250000,58255000,1,3.08380400504639e-05,0
chr20,11920000,11925000,chr20,11925000,11930000,4,2.1359202344329e-20,0
chr18,39830000,39835000,chr18,39835000,39840000,2,3.68647609306071e-09,0
chr7,41785000,41790000,chr7,41800000,41805000,1,0.000215388919108903,0
chr3,83570000,83575000,chr3,83575000,83580000,2,2.92602587260689e-10,0
chr6,93020000,93025000,chr6,93025000,93030000,1,3.28938447773899e-05,0
chr4,147595000,147600000,chr4,147600000,147605000,1,2.01127038653887e-05,0
chr4,30245000,30250000,chr4,30250000,30255000,1,4.30976748464982e-05,0
chr4,126440000,126445000,chr4,126450000,126455000,1,3.5495901512997e-05,0
chr3,16855000,16860000,chr3,16860000,16865000,5,1.26178572531182e-21,0
chrX,31630000,31635000,chrX,31635000,31640000,4,2.79068834854151e-18,0
chr12,88365000,88370000,chr12,88370000,88375000,3,3.09033524097297e-15,0
chr4,169020000,169025000,chr4,169025000,169030000,1,2.15597202325321e-05,0
chr8,141515000,141520000,chr8,141525000,141530000,1,0.000454001512270058,0
chrX,144500000,144505000,chrX,144505000,144510000,2,2.60123151483519e-10,0
chr13,40010000,40015000,chr13,40015000,40020000,3,6.27472277852227e-14,0
chr4,121630000,121635000,chr4,121635000,121640000,3,1.97346217164046e-14,0
chr4,74415000,74420000,chr4,74420000,74425000,2,3.10890598637774e-10,0
chr16,83190000,83195000,chr16,83200000,83205000,2,2.31845515254488e-08,0
chr12,96165000,96170000,chr12,96170000,96175000,1,1.49751410141143e-05,0
chr4,188815000,188820000,chr4,188825000,188830000,2,1.15040820703268e-09,0
chr15,76685000,76690000,chr15,76690000,76695000,3,2.51235116343224e-12,0
chr14,25195000,25200000,chr14,25200000,25205000,3,3.71089368410183e-14,0
chr22,23915000,23920000,chr22,23925000,23930000,1,5.08244426199049e-05,0
chr18,42605000,42610000,chr18,42615000,42620000,1,7.5284040043729e-05,0
chrX,57940000,57945000,chrX,57945000,57950000,2,2.07666035668211e-10,0
chr11,102755000,102760000,chr11,102765000,102770000,1,8.87350673792849e-05,0
chr18,41110000,41115000,chr18,41115000,41120000,3,3.96954399406485e-15,0
chr11,21735000,21740000,chr11,21740000,21745000,1,5.60033235171049e-05,0
chr2,69525000,69530000,chr2,69535000,69540000,1,0.000343527706795259,0
chr6,77835000,77840000,chr6,77840000,77845000,1,3.3177404518353e-05,0
chr3,197495000,197500000,chr3,197500000,197505000,4,1.67245171261938e-16,0
chr6,83690000,83695000,chr6,83695000,83700000,3,9.95266235205574e-13,0
chr3,68210000,68215000,chr3,68215000,68220000,2,4.80145782273575e-10,0
chr7,29430000,29435000,chr7,29435000,29440000,3,1.24204754847523e-12,0
chr8,13335000,13340000,chr8,13340000,13345000,2,1.33177645971954e-08,0
chr14,59900000,59905000,chr14,59905000,59910000,2,1.28664870403116e-09,0
chr18,6995000,7000000,chr18,7015000,7020000,1,0.000329612577919488,0
chr1,192450000,192455000,chr1,192455000,192460000,1,1.5779974509063e-05,0
chr1,187775000,187780000,chr1,187780000,187785000,1,3.52206840864139e-05,0
chr9,118250000,118255000,chr9,118255000,118260000,3,3.60761318816356e-14,0
chr2,140410000,140415000,chr2,140415000,140420000,2,3.83894173594383e-09,0
chr1,216970000,216975000,chr1,216975000,216980000,3,1.41206505134312e-13,0
chr1,66545000,66550000,chr1,66550000,66555000,2,4.56589435547385e-09,0
chrX,34755000,34760000,chrX,34760000,34765000,3,3.59371834167524e-15,0
chr20,56705000,56710000,chr20,56710000,56715000,4,2.48755875733832e-17,0
chr6,169195000,169200000,chr6,169205000,169210000,1,0.000150185766848904,0
chr4,22140000,22145000,chr4,22145000,22150000,3,2.29021196943745e-14,0
chr12,25985000,25990000,chr12,25990000,25995000,3,3.57185811389401e-14,0
chr13,104300000,104305000,chr13,104305000,104310000,3,5.86478850625208e-16,0
chr17,28755000,28760000,chr17,28765000,28770000,1,0.000101214289083915,0
chr4,37100000,37105000,chr4,37105000,37110000,1,4.72258496996668e-05,0
chr4,20695000,20700000,chr4,20705000,20710000,1,7.00553070364917e-05,0
chr15,79435000,79440000,chr15,79440000,79445000,3,4.49880181018922e-13,0
chr14,38175000,38180000,chr14,38180000,38185000,2,6.54225260277453e-09,0
chr5,121405000,121410000,chr5,121410000,121415000,3,1.01878860895214e-12,0
chr12,4220000,4225000,chr12,4230000,4235000,1,0.000135548196096005,0
chr18,60855000,60860000,chr18,60860000,60865000,3,4.66215336223656e-15,0
chr8,87990000,87995000,chr8,88000000,88005000,1,8.08129311266646e-05,0
chr8,1550000,1555000,chr8,1555000,1560000,2,8.95885929656607e-11,0
chr3,93550000,93555000,chr3,93555000,93560000,2,6.89931579317161e-12,0
chr18,57365000,57370000,chr18,57375000,57380000,1,7.47711727335034e-05,0
chr7,54150000,54155000,chr7,54160000,54165000,1,4.39524988998112e-05,0
chr2,61140000,61145000,chr2,61145000,61150000,4,8.48715045496614e-18,0
chr13,25825000,25830000,chr13,25840000,25845000,1,0.000317026544605456,0
chr5,53010000,53015000,chr5,53015000,53020000,2,7.32791410181198e-09,0
chr9,19855000,19860000,chr9,19860000,19865000,1,3.87317756817398e-05,0
chr8,48125000,48130000,chr8,48130000,48135000,4,2.83887310270794e-20,0
chr4,40150000,40155000,chr4,40155000,40160000,3,1.04706631026437e-12,0
chrX,138015000,138020000,chrX,138020000,138025000,3,8.05669503468013e-15,0
chrX,21020000,21025000,chrX,21025000,21030000,3,3.39123479417902e-14,0
chr22,33155000,33160000,chr22,33160000,33165000,2,2.69636759112099e-09,0
chr6,102495000,102500000,chr6,102500000,102505000,2,8.92793291224172e-10,0
chr1,81895000,81900000,chr1,81900000,81905000,2,5.85090869851709e-10,0
chr11,99415000,99420000,chr11,99420000,99425000,1,5.70457701071985e-05,0
chr7,147335000,147340000,chr7,147340000,147345000,1,6.28834190683394e-05,0
chr1,84530000,84535000,chr1,84540000,84545000,2,1.80625461364052e-08,0
chr14,45870000,45875000,chr14,45875000,45880000,2,5.81945055097609e-10,0
chr13,59365000,59370000,chr13,59370000,59375000,2,1.42759765294978e-09,0
chr7,159080000,159085000,chr7,159090000,159095000,1,6.04608060602128e-05,0
chr22,27245000,27250000,chr22,27255000,27260000,1,0.000104962555876106,0
chr1,48785000,48790000,chr1,48790000,48795000,4,3.92943470727519e-17,0
chr10,99675000,99680000,chr10,99685000,99690000,1,0.000138700034347485,0
chr14,53390000,53395000,chr14,53395000,53400000,1,5.5169363901816e-05,0
chr5,45805000,45810000,chr5,45810000,45815000,2,1.95525872318233e-09,0
chr13,96085000,96090000,chr13,96090000,96095000,3,4.08454170700775e-13,0
chr4,106970000,106975000,chr4,106980000,106985000,1,0.00014656288974238,0
chrX,14535000,14540000,chrX,14545000,14550000,1,4.50658562375552e-05,0
chr20,8465000,8470000,chr20,8470000,8475000,2,3.91027934209747e-10,0
chr14,84725000,84730000,chr14,84730000,84735000,3,1.94517802504948e-15,0
chr8,32475000,32480000,chr8,32480000,32485000,2,1.61817110457831e-09,0
chrX,21065000,21070000,chrX,21070000,21075000,2,8.85403922547274e-11,0
chr11,30070000,30075000,chr11,30075000,30080000,1,1.24063352952521e-05,0
chrX,26330000,26335000,chrX,26335000,26340000,1,1.55132937292121e-06,0
chr8,111745000,111750000,chr8,111755000,111760000,1,9.6002476921847e-05,0
chr10,79750000,79755000,chr10,79755000,79760000,1,8.45905891313331e-05,0
chr13,70945000,70950000,chr13,70950000,70955000,2,1.65898971557857e-10,0
chrX,28230000,28235000,chrX,28235000,28240000,1,2.83568879712136e-05,0
chr8,47000000,47005000,chr8,47005000,47010000,1,8.94510109931805e-06,0
chr1,239020000,239025000,chr1,239025000,239030000,2,1.56955761769248e-09,0
chr13,80905000,80910000,chr13,80915000,80920000,1,8.02291916958844e-05,0
chr7,6935000,6940000,chr7,6940000,6945000,2,2.7531781670603e-10,0
chr14,28195000,28200000,chr14,28200000,28205000,2,5.56697203904317e-10,0
chr14,100985000,100990000,chr14,100990000,100995000,2,2.73478687500663e-09,0
chr6,35300000,35305000,chr6,35315000,35320000,1,9.48350768662297e-05,0
chr7,81385000,81390000,chr7,81395000,81400000,1,0.000158482014421673,0
chr5,8740000,8745000,chr5,8745000,8750000,1,0.000123991235942938,0
chr2,242570000,242575000,chr2,242585000,242590000,1,0.000196067717910282,0
chr19,21465000,21470000,chr19,21470000,21475000,2,3.29732644131542e-10,0
chr19,16075000,16080000,chr19,16080000,16085000,3,6.21665125014079e-13,0
chr6,114330000,114335000,chr6,114335000,114340000,3,4.72013522214169e-15,0
chr6,142765000,142770000,chr6,142770000,142775000,2,7.67337852800993e-09,0
chr9,28415000,28420000,chr9,28420000,28425000,2,1.27217610735538e-10,0
chr7,53765000,53770000,chr7,53770000,53775000,1,3.27979342491984e-05,0
chr14,74715000,74720000,chr14,74725000,74730000,1,0.00010191890028723,0
chr14,27740000,27745000,chr14,27750000,27755000,1,6.80538551138777e-05,0
chr6,96455000,96460000,chr6,96460000,96465000,2,2.22477288751097e-09,0
chr13,59040000,59045000,chr13,59045000,59050000,2,5.9634242585772e-10,0
chr10,55860000,55865000,chr10,55865000,55870000,3,3.06888147298432e-13,0
chr1,86380000,86385000,chr1,86385000,86390000,3,3.7395856062081e-14,0
chr7,119390000,119395000,chr7,119395000,119400000,1,0.000228290129628103,0
chr4,66380000,66385000,chr4,66385000,66390000,3,1.70236138293355e-14,0
chr3,96970000,96975000,chr3,96975000,96980000,4,3.06819158138587e-20,0
chrX,69075000,69080000,chrX,69080000,69085000,3,5.0782400708615e-14,0
chr5,106735000,106740000,chr5,106745000,106750000,1,7.26529965222406e-05,0
chr2,212840000,212845000,chr2,212850000,212855000,1,2.60550352149206e-05,0
chr3,108720000,108725000,chr3,108725000,108730000,2,2.14853654182385e-09,0
chr4,71240000,71245000,chr4,71245000,71250000,2,1.35515186860603e-10,0
chr1,104475000,104480000,chr1,104485000,104490000,1,5.80590225987239e-05,0
chr11,99985000,99990000,chr11,99990000,99995000,1,4.61500229971857e-05,0
chr18,25085000,25090000,chr18,25090000,25095000,1,1.53629705703231e-05,0
chr12,91255000,91260000,chr12,91260000,91265000,2,2.11084412425985e-09,0
chr1,63940000,63945000,chr1,63950000,63955000,1,0.000237948113048061,0
chr20,24535000,24540000,chr20,24540000,24545000,1,1.33946600241425e-05,0
chr18,43050000,43055000,chr18,43055000,43060000,2,3.12716572236234e-10,0
chr4,177520000,177525000,chr4,177525000,177530000,2,2.22200316454362e-09,0
chr7,62575000,62580000,chr7,62585000,62590000,1,7.20734158889224e-05,0
chr15,57735000,57740000,chr15,57740000,57745000,2,1.06900104626672e-08,0
chr5,110215000,110220000,chr5,110220000,110225000,1,7.70311138066739e-05,0
chr14,74130000,74135000,chr14,74135000,74140000,3,2.3684166776405e-13,0
chr5,150770000,150775000,chr5,150775000,150780000,1,3.08380544537131e-05,0
chr7,52030000,52035000,chr7,52040000,52045000,1,7.72520968924918e-05,0
chr19,29550000,29555000,chr19,29560000,29565000,1,6.61649841284915e-05,0
chr4,13205000,13210000,chr4,13215000,13220000,1,0.000130370103895924,0
chr5,36005000,36010000,chr5,36010000,36015000,3,7.83680364740978e-13,0
chr4,75130000,75135000,chr4,75135000,75140000,3,3.03963924394845e-14,0
chr21,26685000,26690000,chr21,26690000,26695000,3,4.77002692343509e-13,0
chr6,32585000,32590000,chr6,32590000,32595000,2,1.82962697323034e-09,0
chr3,8355000,8360000,chr3,8365000,8370000,1,7.92201485704541e-05,0
chr11,56550000,56555000,chr11,56555000,56560000,3,7.34585129541218e-14,0
chr14,39820000,39825000,chr14,39825000,39830000,1,1.41953234118753e-05,0
chr6,165410000,165415000,chr6,165415000,165420000,1,5.7279274082816e-05,0
chr4,39670000,39675000,chr4,39675000,39680000,4,2.21767412248005e-17,0
chr10,53940000,53945000,chr10,53950000,53955000,1,0.00013029507848466,0
chr6,165490000,165495000,chr6,165495000,165500000,2,1.64461143735487e-09,0
chr12,64470000,64475000,chr12,64475000,64480000,1,7.52882074689245e-05,0
chr10,45515000,45520000,chr10,45525000,45530000,1,0.000137699446971479,0
chr5,18770000,18775000,chr5,18775000,18780000,1,5.55446497141475e-05,0
chr1,73725000,73730000,chr1,73730000,73735000,3,1.07752947487169e-13,0
chr7,27485000,27490000,chr7,27490000,27495000,3,1.31072636805892e-12,0
chr11,29335000,29340000,chr11,29340000,29345000,1,5.2750878163288e-05,0
chr14,39045000,39050000,chr14,39050000,39055000,1,3.67427159605864e-05,0
chr6,131690000,131695000,chr6,131695000,131700000,2,4.30844475481967e-09,0
chr2,226785000,226790000,chr2,226790000,226795000,4,1.54276385052231e-19,0
chr12,73515000,73520000,chr12,73520000,73525000,1,5.46064417237446e-05,0
chr4,97985000,97990000,chr4,97990000,97995000,3,1.04006368316639e-13,0
chr3,85000000,85005000,chr3,85005000,85010000,2,4.95370954007933e-10,0
chr14,22930000,22935000,chr14,22940000,22945000,1,0.000168508205979061,0
chr18,67010000,67015000,chr18,67015000,67020000,3,1.65362288415922e-14,0
chr17,29060000,29065000,chr17,29070000,29075000,1,5.58698899742774e-05,0
chr20,10260000,10265000,chr20,10265000,10270000,1,2.06756641876492e-05,0
chr13,64945000,64950000,chr13,64950000,64955000,1,2.06756641876492e-05,0
chr1,195880000,195885000,chr1,195890000,195895000,1,5.57072774250185e-05,0
chr2,164060000,164065000,chr2,164065000,164070000,3,2.03465376524293e-13,0
chr2,106365000,106370000,chr2,106375000,106380000,1,0.000197355836535948,0
chr4,63715000,63720000,chr4,63725000,63730000,1,9.10699895708763e-05,0
chr9,137830000,137835000,chr9,137835000,137840000,2,1.49237894564786e-09,0
chr11,31660000,31665000,chr11,31665000,31670000,3,4.30364779107037e-13,0
chr11,98105000,98110000,chr11,98110000,98115000,1,0.000109732298571764,0
chr6,79680000,79685000,chr6,79685000,79690000,1,2.32194050311857e-05,0
chr14,28795000,28800000,chr14,28800000,28805000,1,3.14134988436144e-05,0
chr3,124570000,124575000,chr3,124575000,124580000,1,0.000204100588159003,0
chr1,196705000,196710000,chr1,196710000,196715000,2,2.60634733501287e-09,0
chr14,76445000,76450000,chr14,76460000,76465000,1,0.000102256618710838,0
chr6,36405000,36410000,chr6,36410000,36415000,1,0.000689452005827195,0
chr11,2590000,2595000,chr11,2600000,2605000,1,0.000130520214486897,0
chr12,65740000,65745000,chr12,65750000,65755000,1,1.68808896579955e-05,0
chr6,102710000,102715000,chr6,102715000,102720000,1,2.81483873112921e-05,0
chr3,57465000,57470000,chr3,57470000,57475000,1,5.21921250643132e-05,0
chr5,15585000,15590000,chr5,15595000,15600000,1,0.00020973644734117,0
chr9,82820000,82825000,chr9,82825000,82830000,1,3.70804818306585e-05,0
chr9,26885000,26890000,chr9,26890000,26895000,1,2.31485141887922e-05,0
chr6,95545000,95550000,chr6,95550000,95555000,3,1.44827490257199e-14,0
chr9,8830000,8835000,chr9,8835000,8840000,3,7.22368432454637e-15,0
chr13,113400000,113405000,chr13,113405000,113410000,2,1.75088390072404e-09,0
chr21,19890000,19895000,chr21,19900000,19905000,1,0.000125692276003683,0
chr8,137145000,137150000,chr8,137150000,137155000,1,6.88460945073202e-05,0
chr8,4780000,4785000,chr8,4785000,4790000,3,3.14331863364539e-15,0
chr12,25700000,25705000,chr12,25710000,25715000,1,7.83945808227705e-05,0
chr12,84115000,84120000,chr12,84120000,84125000,3,1.07987407440093e-14,0
chr4,87490000,87495000,chr4,87500000,87505000,1,0.000182823832698216,0
chrX,126875000,126880000,chrX,126885000,126890000,1,3.03584906419147e-05,0
chr3,143205000,143210000,chr3,143220000,143225000,1,0.000150506790408056,0
chr13,76755000,76760000,chr13,76760000,76765000,2,2.96351584861342e-10,0
chr13,52000000,52005000,chr13,52005000,52010000,1,9.94756258593844e-05,0
chr15,30965000,30970000,chr15,30970000,30975000,1,5.66663164628936e-05,0
chr20,5360000,5365000,chr20,5365000,5370000,2,1.32521738084651e-09,0
chr11,29180000,29185000,chr11,29185000,29190000,3,1.21673049644414e-13,0
chr11,100915000,100920000,chr11,100920000,100925000,2,6.816951991443e-09,0
chr3,75175000,75180000,chr3,75180000,75185000,2,6.60926524816576e-10,0
chr7,44025000,44030000,chr7,44030000,44035000,3,3.75164233516239e-17,0
chrX,94290000,94295000,chrX,94295000,94300000,3,1.24063814884374e-14,0
chr3,122485000,122490000,chr3,122495000,122500000,1,5.01906212994264e-05,0
chr18,56865000,56870000,chr18,56870000,56875000,2,2.44834647415301e-09,0
chr18,63915000,63920000,chr18,63920000,63925000,1,1.54129997717854e-05,0
chr4,34215000,34220000,chr4,34220000,34225000,1,3.0788000660444e-05,0
chrX,120265000,120270000,chrX,120270000,120275000,1,4.73259238656171e-05,0
chrX,128475000,128480000,chrX,128480000,128485000,2,5.57814156165362e-10,0
chr7,97795000,97800000,chr7,97800000,97805000,4,1.57502680880111e-17,0
chr11,58480000,58485000,chr11,58485000,58490000,2,1.63332425429177e-08,0
chr21,25155000,25160000,chr21,25165000,25170000,1,8.80887935007214e-05,0
chr9,9845000,9850000,chr9,9850000,9855000,2,2.0549993034638e-09,0
chr8,51500000,51505000,chr8,51505000,51510000,2,2.04938679099733e-09,0
chr11,7285000,7290000,chr11,7300000,7305000,1,9.23541963200775e-05,0
chr16,34175000,34180000,chr16,34180000,34185000,1,2.45579948674568e-05,0
chr10,37575000,37580000,chr10,37580000,37585000,3,5.43472611563524e-14,0
